gemeinde,specialization,N_total_yearly_patients,N_unique_yearly_patients,total_weekly_hours
92101,AM,12659,6901,20.0
90301,AM,5586,3339,19.25
62380,PSY,9209,3667,19.5
41234,IM,74,74,20.0
30603,NEU,200,200,21.5
91401,AM,2148,1518,30.25
91601,ORTR,1,1,1.5
20101,AM,13,13,43.0
32310,AM,4003,2379,20.0
62040,IM,3259,1954,15.5
70357,AM,15496,7033,14.0
70531,AM,308,265,25.3125
20418,AM,35946,12248,20.0
91001,AM,28748,10801,18.4
61438,HNO,5,5,1.5
40701,AM,12554,10932,24.0
91501,DER,51,51,24.0
31814,AM,17807,7422,20.5
91301,AM,17519,6326,20.0
91001,KI,7664,4488,23.5
40711,IM,5314,4399,20.0
60669,IM,9270,3798,20.0
61049,AM,24,24,18.58333333333333
62267,AM,22,22,18.58333333333333
70528,IM,6291,2487,25.0
91001,DER,5732,3655,25.0
50101,AM,7241,5224,19.642857142857142
41703,ORTR,20173,6969,18.0
61265,ORTR,21867,7367,24.0
20817,GGH,6994,4622,20.5
41215,AM,25137,10063,27.0
61625,AU,19457,9442,20.0
40701,AM,8591,3742,24.33333333333333
41605,DER,18290,6862,20.0
40301,RAD,9215,5407,20.0
30618,AM,1,1,24.0
70312,AM,8106,4157,18.0
31309,ORTR,8870,4847,24.0
91301,HNO,42,42,25.0
70926,AM,422,373,21.0
50406,IM,3351,2515,22.5
30529,AM,6789,4744,20.166666666666668
20512,AM,362,216,22.0
70513,AM,4945,2871,21.0
20527,IM,14805,7411,20.0
91401,AM,9913,8050,23.33333333333333
50101,AM,7291,5205,23.8
92301,AU,16361,11700,20.0
92201,KI,4919,4263,24.5
70367,AM,80031,36037,20.0
91601,IM,41801,31560,20.5
50628,AM,11619,5829,18.75
70926,IM,9566,6342,20.0
32013,AM,5,5,1.5
70219,AU,57,57,20.0
40607,RAD,52,42,20.0
90201,AM,10021,5174,20.33333333333333
90701,IM,7706,4863,22.0
91801,AM,16809,11853,21.33333333333333
90501,AM,16082,5185,20.0
61766,AM,11286,4421,26.0
31818,AM,16926,6021,20.0
61612,AM,4120,2970,25.25
31517,AM,16121,6475,19.75
60101,AM,4155,3415,16.5
20727,AM,10888,5233,19.5
90401,AM,34996,10787,32.0
40301,ORTR,12873,7739,20.0
31230,GGH,11756,5359,20.0
31818,AM,9190,4864,18.0
41731,AM,8141,6017,19.764705882352946
91901,HNO,12074,9555,22.0
90401,AM,13350,6957,20.0
30201,AM,8769,4148,20.0
70615,AM,6600,5489,20.0
30602,GGH,75,72,20.0
40301,AU,4538,3645,19.75
32336,AM,1522,1026,9.0
20101,KI,2126,1383,20.0
20101,AM,12307,7729,20.0
41425,AM,37872,15340,22.0
92101,IM,142,137,50.0
62040,URO,8537,6883,20.0
70101,AM,8641,5976,20.0
70203,AM,14068,10453,20.0
31717,AM,15616,5922,16.0
90901,AM,11671,4232,24.5
91401,AM,10,10,1.5
10304,DER,7162,5563,16.5
31726,CH,6399,3598,17.0
80103,AM,11022,9432,20.0
91901,AU,6660,1677,20.0
40703,HNO,7854,5560,19.33333333333333
