gemeinde,specialization,N_total_yearly_patients,N_unique_yearly_patients,total_weekly_hours,N_total_quarterly_patients,N_unique_quarterly_patients,capacity_total_flat,capacity_unique_flat,capacity_total_hour-based,capacity_unique_hour-based,capacity_total_max,capacity_unique_max,adj_index
92101,AM,12659,6901,20.0,3165,1725,3482,1898,7192,2999,5206,2123,0
90301,AM,5586,3339,19.25,1396,835,1536,919,7187,2272,5206,2123,1
62380,PSY,9209,3667,19.5,2302,917,2532,1009,2302,917,3500,1450,2
41234,IM,74,74,20.0,18,18,20,20,7076,5050,3664,1853,3
30603,NEU,200,200,21.5,50,50,55,55,2760,1131,2760,1131,4
91401,AM,2148,1518,30.25,537,380,591,418,8749,2697,5206,2123,5
91601,ORTR,1,1,1.5,0,0,0,0,0,0,5043,1879,6
20101,AM,13,13,43.0,3,3,3,3,8,8,5206,2123,7
32310,AM,4003,2379,20.0,1001,595,1101,654,7192,2999,5206,2123,8
62040,IM,3259,1954,15.5,815,488,897,537,3664,1464,3664,1853,9
70357,AM,15496,7033,14.0,3874,1758,4261,1934,4780,1758,5206,1758,10
70531,AM,308,265,25.3125,77,66,85,73,6284,2516,5206,2123,11
20418,AM,35946,12248,20.0,8986,3062,9885,3368,8986,3062,8986,3062,12
91001,AM,28748,10801,18.4,7187,2700,7906,2970,7187,2700,7187,2700,13
61438,HNO,5,5,1.5,1,1,1,1,1,1,4052,2834,14
40701,AM,12554,10932,24.0,3138,2733,3452,3006,7192,2733,5206,2733,15
91501,DER,51,51,24.0,13,13,14,14,4572,1716,5717,2000,16
31814,AM,17807,7422,20.5,4452,1856,4897,2042,7192,2999,4452,1856,17
91301,AM,17519,6326,20.0,4380,1582,4818,1740,7192,2999,4380,2123,18
91001,KI,7664,4488,23.5,1916,1122,2108,1234,24570,17405,15314,9696,19
40711,IM,5314,4399,20.0,1328,1100,1461,1210,7076,5050,3664,1853,20
60669,IM,9270,3798,20.0,2318,950,2550,1045,7076,5050,3664,1853,21
61049,AM,24,24,18.58333333333333,6,6,7,7,7187,2272,5206,2123,22
62267,AM,22,22,18.58333333333333,6,6,7,7,7187,2272,5206,2123,23
70528,IM,6291,2487,25.0,1573,622,1730,684,1573,622,3664,1853,24
91001,DER,5732,3655,25.0,1433,914,1576,1005,1433,914,5717,2000,25
50101,AM,7241,5224,19.642857142857142,1810,1306,1991,1437,7187,2272,5206,2123,26
41703,ORTR,20173,6969,18.0,5043,1742,5547,1916,5043,1742,5043,1879,27
61265,ORTR,21867,7367,24.0,5467,1842,6014,2026,5467,1935,5467,1842,28
20817,GGH,6994,4622,20.5,1748,1156,1923,1272,4834,2010,3886,1675,29
41215,AM,25137,10063,27.0,6284,2516,6912,2768,6284,2516,6284,2516,30
61625,AU,19457,9442,20.0,4864,2360,5350,2596,4864,2925,4864,2360,31
40701,AM,8591,3742,24.33333333333333,2148,936,2363,1030,7192,2999,5206,2123,32
41605,DER,18290,6862,20.0,4572,1716,5029,1888,4572,1716,4572,1716,33
40301,RAD,9215,5407,20.0,2304,1352,2534,1487,6351,2690,4630,2410,34
30618,AM,1,1,24.0,0,0,0,0,7192,2999,5206,2123,35
70312,AM,8106,4157,18.0,2026,1039,2229,1143,7187,2272,5206,2123,36
31309,ORTR,8870,4847,24.0,2218,1212,2440,1333,5467,1935,5043,1879,37
91301,HNO,42,42,25.0,10,10,11,11,10,10,4052,2834,38
70926,AM,422,373,21.0,106,93,117,102,7192,2999,5206,2123,39
50406,IM,3351,2515,22.5,838,629,922,692,7076,5050,3664,1853,40
30529,AM,6789,4744,20.166666666666668,1697,1186,1867,1305,7192,2999,5206,2123,41
20512,AM,362,216,22.0,90,54,99,59,7192,2999,5206,2123,42
70513,AM,4945,2871,21.0,1236,718,1360,790,7192,2999,5206,2123,43
20527,IM,14805,7411,20.0,3701,1853,4071,2038,3701,5050,3701,1853,44
91401,AM,9913,8050,23.33333333333333,2478,2012,2726,2213,7192,2999,5206,2012,45
50101,AM,7291,5205,23.8,1823,1301,2005,1431,7192,2999,5206,2123,46
92301,AU,16361,11700,20.0,4090,2925,4499,3218,4864,2925,4090,2925,47
92201,KI,4919,4263,24.5,1230,1066,1353,1173,24570,17405,15314,9696,48
70367,AM,80031,36037,20.0,20008,9009,22009,9910,20008,9009,20008,9009,49
91601,IM,41801,31560,20.5,10450,7890,11495,8679,10450,7890,10450,7890,50
50628,AM,11619,5829,18.75,2905,1457,3196,1603,7187,2272,5206,2123,51
70926,IM,9566,6342,20.0,2392,1586,2631,1745,7076,5050,3664,1586,52
32013,AM,5,5,1.5,1,1,1,1,2,2,5206,2123,53
70219,AU,57,57,20.0,14,14,15,15,4864,2925,4477,2642,54
40607,RAD,52,42,20.0,13,10,14,11,6351,2690,4630,2410,55
90201,AM,10021,5174,20.33333333333333,2505,1294,2756,1423,7192,2999,5206,2123,56
90701,IM,7706,4863,22.0,1926,1216,2119,1338,7076,5050,3664,1853,57
91801,AM,16809,11853,21.33333333333333,4202,2963,4622,3259,7192,2963,4202,2963,58
90501,AM,16082,5185,20.0,4020,1296,4422,1426,7192,2999,4020,2123,59
61766,AM,11286,4421,26.0,2822,1105,3104,1216,6284,2516,5206,2123,60
31818,AM,16926,6021,20.0,4232,1505,4655,1656,7192,2999,4232,2123,61
61612,AM,4120,2970,25.25,1030,742,1133,816,6284,2516,5206,2123,62
31517,AM,16121,6475,19.75,4030,1619,4433,1781,7187,2272,4030,2123,63
60101,AM,4155,3415,16.5,1039,854,1143,939,7187,2272,5206,2123,64
20727,AM,10888,5233,19.5,2722,1308,2994,1439,7187,2272,5206,2123,65
90401,AM,34996,10787,32.0,8749,2697,9624,2967,8749,2697,8749,2697,66
40301,ORTR,12873,7739,20.0,3218,1935,3540,2128,5467,1935,3218,1935,67
31230,GGH,11756,5359,20.0,2939,1340,3233,1474,4834,2010,2939,1340,68
31818,AM,9190,4864,18.0,2298,1216,2528,1338,7187,2272,5206,2123,69
41731,AM,8141,6017,19.764705882352946,2035,1504,2238,1654,7187,2272,5206,2123,70
91901,HNO,12074,9555,22.0,3018,2389,3320,2628,5086,3280,3018,2389,71
90401,AM,13350,6957,20.0,3338,1739,3672,1913,7192,2999,5206,1739,72
30201,AM,8769,4148,20.0,2192,1037,2411,1141,7192,2999,5206,2123,73
70615,AM,6600,5489,20.0,1650,1372,1815,1509,7192,2999,5206,2123,74
30602,GGH,75,72,20.0,19,18,21,20,4834,2010,3886,1675,75
40301,AU,4538,3645,19.75,1134,911,1247,1002,1134,911,4477,2642,76
32336,AM,1522,1026,9.0,380,256,418,282,2753,2038,5206,2123,77
20101,KI,2126,1383,20.0,532,346,585,381,24570,17405,15314,9696,78
20101,AM,12307,7729,20.0,3077,1932,3385,2125,7192,2999,5206,1932,79
41425,AM,37872,15340,22.0,9468,3835,10415,4218,9468,3835,9468,3835,80
92101,IM,142,137,50.0,36,34,40,37,36,34,3664,1853,81
