Gemeinde name,Gem. lat,Gem. lng,PLZ
Eisenstadt 7000 Gemeindeamt,47.8468342,16.52431820000004,7000
Rust 7071 Gemeindeamt,47.80057799999999,16.67476929999998,7071
Breitenbrunn am Neusiedler See 7091 Gemeindeamt,47.94633049999999,16.732713500000045,7091
Donnerskirchen 7082 Gemeindeamt,47.896196100000004,16.64458220000006,7082
Großhöflein 7051 Gemeindeamt,47.8334189,16.481576200000063,7051
Hornstein 7053 Gemeindeamt,47.87945149999999,16.442516299999966,7053
Klingenbach 7013 Gemeindeamt,47.7519745,16.54031120000002,7013
Leithaprodersdorf 2443 Gemeindeamt,47.936145700000004,16.48172509999995,2443
Oggau am Neusiedler See 7063 Gemeindeamt,47.8330940037486,16.666940576699062,7063
Sankt Margarethen im Burgenland 7062 Gemeindeamt,47.8025196,16.606165199999964,7062
Steinbrunn 7035 Gemeindeamt,47.8370914,16.413700299999963,7035
Loretto 2443 Gemeindeamt,47.914156043538654,16.52265708445327,2443
Zagersdorf 7012 Gemeindeamt,47.7649464,16.515317399999958,7012
Gerersdorf-Sulz 7542 Gemeindeamt,47.068661299999995,16.252356899999995,7542
Kukmirn 7543 Gemeindeamt,47.075967455262315,16.209374774847678,7543
Ollersdorf im Burgenland 7533 Gemeindeamt,47.1834436,16.162364700000012,7533
Strem 7522 Gemeindeamt,47.0453,16.413520000000062,7522
Wörterberg 8293 Gemeindeamt,47.22023799999999,16.099486599999974,8293
Heugraben 7551 Gemeindeamt,47.1189769,16.191585799999984,7551
Rauchwart 7535 Gemeindeamt,47.133404299999995,16.228960099999995,7535
Heiligenkreuz im Lafnitztal 7561 Gemeindeamt,46.9886807,16.258343999999965,7561
Minihof-Liebau 8384 Gemeindeamt,46.8829901,16.078064400000017,8384
Neuhaus am Klausenbach 8385 Gemeindeamt,46.868264,16.030431799999974,8385
Sankt Martin an der Raab 8383 Gemeindeamt,46.91931732797351,16.125693074529522,8383
Königsdorf 7563 Gemeindeamt,47.00554343568674,16.170831469858513,7563
Draßburg 7021 Gemeindeamt,47.74594929999999,16.489021900000008,7021
Hirm 7024 Gemeindeamt,47.78750669999999,16.456016500000032,7024
Loipersbach im Burgenland 7020 Gemeindeamt,47.6971278,16.482444299999994,7020
Mattersburg 7210 Gemeindeamt,47.738341600000005,16.40159410000001,7210
Pöttelsdorf 7023 Gemeindeamt,47.7532221,16.43768130000001,7023
Rohrbach bei Mattersburg 7222 Gemeindeamt,47.708363399999996,16.42470609999998,7222
Bad Sauerbrunn 7202 Gemeindeamt,47.775225899999995,16.32524030000002,7202
Sieggraben 7223 Gemeindeamt,47.6499821,16.379663299999947,7223
Wiesen 7203 Gemeindeamt,47.7397383,16.338326300000062,7203
Baumgarten 7021 Gemeindeamt,47.7386469,16.500579499999958,7021
Krensdorf 7031 Gemeindeamt,47.784417600000005,16.415397600000006,7031
Apetlon 7143 Gemeindeamt,47.7427844,16.831180200000066,7143
Bruckneudorf 2460 Gemeindeamt,48.0198566,16.778490799999982,2460
Frauenkirchen 7132 Gemeindeamt,47.8376066,16.9264091,7132
Gols 7122 Gemeindeamt,47.8990111,16.909331899999984,7122
Halbturn 7131 Gemeindeamt,47.8717328,16.972653199999968,7131
Jois 7093 Gemeindeamt,47.959914500000004,16.79262510000001,7093
Mönchhof 7123 Gemeindeamt,47.8817345,16.940352899999993,7123
Neusiedl am See 7100 Gemeindeamt,47.94867,16.84371569999996,7100
Pama 2422 Gemeindeamt,48.047891899999996,17.03447559999995,2422
Parndorf 7111 Gemeindeamt,47.9979042,16.857452200000008,7111
Podersdorf am See 7141 Gemeindeamt,47.8544248,16.837116000000037,7141
Tadten 7162 Gemeindeamt,47.7629235,16.98851650000006,7162
Weiden am See 7121 Gemeindeamt,47.9274752,16.86696489999997,7121
Winden am See 7092 Gemeindeamt,47.9515969,16.75281670000004,7092
Neudorf 2475 Gemeindeamt,48.0152847,16.930249499999945,2475
Potzneusiedl 2473 Gemeindeamt,48.0435472,16.952057800000034,2473
Deutschkreutz 7301 Gemeindeamt,47.6016309,16.623442299999965,7301
Frankenau-Unterpullendorf 7361 Gemeindeamt,47.44908849999999,16.60803150000004,7361
Horitschon 7312 Gemeindeamt,47.588721,16.547184399999992,7312
Kobersdorf 7332 Gemeindeamt,47.5960798,16.390977900000053,7332
Lockenhaus 7442 Gemeindeamt,47.407137899999995,16.417879500000026,7442
Mannersdorf an der Rabnitz 7444 Gemeindeamt,47.429016305544536,16.52925694970486,7444
Neckenmarkt 7311 Gemeindeamt,47.60004620000001,16.543914099999938,7311
Nikitsch 7302 Gemeindeamt,47.53308135399988,16.652512785018413,7302
Pilgersdorf 7441 Gemeindeamt,47.4406689,16.35021830000005,7441
Raiding 7321 Gemeindeamt,47.5653026,16.531074999999987,7321
Steinberg-Dörfl 7453 Gemeindeamt,47.47423389999999,16.48761300000001,7453
Weppersdorf 7331 Gemeindeamt,47.5777739,16.426976200000013,7331
Unterfrauenhaid 7321 Gemeindeamt,47.5712165,16.499167299999954,7321
Weingraben 7374 Gemeindeamt,47.5139703,16.362918199999967,7374
Bad Tatzmannsdorf 7431 Gemeindeamt,47.33251449999999,16.230080199999975,7431
Deutsch Schützen-Eisenberg 7474 Gemeindeamt,47.1637092,16.44857109999998,7474
Großpetersdorf 7503 Gemeindeamt,47.2388886,16.317933400000015,7503
Kemeten 7531 Gemeindeamt,47.2500481,16.15021999999999,7531
Litzelsdorf 7532 Gemeindeamt,47.2148545,16.15786079999998,7532
Markt Allhau 7411 Gemeindeamt,47.288457,16.081515800000037,7411
Mischendorf 7511 Gemeindeamt,47.1937699,16.313609600000063,7511
Oberschützen 7432 Gemeindeamt,47.3510199,16.208078999999998,7432
Pinkafeld 7423 Gemeindeamt,47.3720755,16.124780699999974,7423
Riedlingsdorf 7422 Gemeindeamt,47.34670819999999,16.13420610000003,7422
Stadtschlaining 7461 Gemeindeamt,47.324123900000004,16.278967400000056,7461
Wiesfleck 7423 Gemeindeamt,47.385217291812,16.147138046513305,7423
Schandorf 7472 Gemeindeamt,47.2432097,16.42232660000002,7472
Hermagor-Pressegger See 9620 Gemeindeamt,46.626378,13.371874199999981,9620
Gitschtal 9622 Gemeindeamt,46.68682570000001,13.253193300000019,9622
Feistritz im Rosental 9181 Gemeindeamt,46.5226574,14.168848000000025,9181
Köttmannsdorf 9071 Gemeindeamt,46.560889700000004,14.230004000000006,9071
Maria Rain 9161 Gemeindeamt,46.5608851,14.28769779999993,9161
Moosburg 9062 Gemeindeamt,46.659001200000006,14.177347100000018,9062
St. Margareten im Rosental 9173 Gemeindeamt,46.54083379999999,14.418519800000013,9173
Magdalensberg 9064 Gemeindeamt,46.67199270543437,14.418300009767563,9064
Althofen 9330 Gemeindeamt,46.8716481,14.470153900000017,9330
Deutsch-Griffen 9572 Gemeindeamt,46.85526088079088,14.074330027735071,9572
Friesach 9360 Gemeindeamt,46.95217720000001,14.405407599999991,9360
Gurk 9342 Gemeindeamt,46.874495399999994,14.287983499999996,9342
Guttaring 9334 Gemeindeamt,46.8907557,14.512762800000019,9334
Kappel am Krappfeld 9321 Gemeindeamt,46.8392499,14.483677100000026,9321
Liebenfels 9556 Gemeindeamt,46.737226899999996,14.28781159999994,9556
Micheldorf 9322 Gemeindeamt,46.91465789999999,14.427508900000019,9322
St. Georgen am Längsee 9314 Gemeindeamt,46.769105200000006,14.457484199999952,9314
Straßburg 9341 Gemeindeamt,46.8954429,14.331789000000072,9341
Weitensfeld im Gurktal 9344 Gemeindeamt,46.847434899999996,14.192128599999931,9344
Bad Kleinkirchheim 9546 Gemeindeamt,46.81411729999999,13.796870399999989,9546
Dellach im Drautal 9772 Gemeindeamt,46.739527200000005,13.080236199999945,9772
Flattach 9831 Gemeindeamt,46.934967799999995,13.120465299999976,9831
Greifenburg 9761 Gemeindeamt,46.749735,13.177588000000016,9761
Kleblach-Lind 9753 Gemeindeamt,46.76902781837646,13.356957783288069,9753
Malta 9854 Gemeindeamt,46.954487799999995,13.502907100000016,9854
Mörtschach 9842 Gemeindeamt,46.92218,12.913209999999935,9842
Oberdrauburg 9781 Gemeindeamt,46.7486656,12.967430499999976,9781
Rangersdorf 9833 Gemeindeamt,46.8614059,12.962268900000026,9833
Rennweg am Katschberg 9863 Gemeindeamt,47.016642,13.614997000000017,9863
Seeboden am Millstätter See 9871 Gemeindeamt,46.8191073,13.516946100000037,9871
Spittal an der Drau 9800 Gemeindeamt,46.79818832444767,13.495932114792707,9800
Stall 9832 Gemeindeamt,46.887314200000006,13.035703099999976,9832
Trebesing 9852 Gemeindeamt,46.8838722,13.510476499999983,9852
Winklern 9841 Gemeindeamt,46.8723319,12.878847500000004,9841
Lurnfeld 9813 Gemeindeamt,46.8317268,13.37876890000007,9813
Reißeck 9815 Gemeindeamt,46.876279700000005,13.303965400000038,9815
Arnoldstein 9601 Gemeindeamt,46.5497604,13.710086899999965,9601
Bad Bleiberg 9530 Gemeindeamt,46.6286925708375,13.653593897891483,9530
Feistritz an der Gail 9613 Gemeindeamt,46.5808546,13.602172300000007,9613
Ferndorf 9702 Gemeindeamt,46.7368037,13.624721499999964,9702
Fresach 9712 Gemeindeamt,46.713353999999995,13.689183800000027,9712
Hohenthurn 9613 Gemeindeamt,46.558169299999996,13.633386500000027,9613
Paternion 9711 Gemeindeamt,46.70243759857211,13.66542943514014,9711
St. Jakob im Rosental 9184 Gemeindeamt,46.5475511,14.055636400000026,9184
Treffen am Ossiacher See 9521 Gemeindeamt,46.66786399999999,13.856019999999946,9521
Weißenstein 9721 Gemeindeamt,46.682390000000005,13.723389999999995,9721
Wernberg 9241 Gemeindeamt,46.6234812,13.937944900000048,9241
Diex 9103 Gemeindeamt,46.7413179,14.620056699999964,9103
Eisenkappel-Vellach 9135 Gemeindeamt,46.4893345,14.585871399999974,9135
Feistritz ob Bleiburg 9143 Gemeindeamt,46.56095620000001,14.761811599999987,9143
Globasnitz 9142 Gemeindeamt,46.55661757442105,14.701930039959848,9142
Neuhaus 9155 Gemeindeamt,46.6430076,14.887718599999975,9155
Lavamünd 9473 Gemeindeamt,46.6407766,14.948801799999954,9473
Wolfsberg 9400 Gemeindeamt,46.839297200000004,14.844692799999962,9400
Glanegg 9555 Gemeindeamt,46.7155636,14.216264000000026,9555
Ossiach 9570 Gemeindeamt,46.6740447,13.983453700000037,9570
Steindorf am Ossiacher See 9551 Gemeindeamt,46.685386,13.973666999999976,9551
Steuerberg 9560 Gemeindeamt,46.7878929,14.114554099999964,9560
St. Pölten 3100 Gemeindeamt,48.20418529999999,15.622887399999966,3100
Allhartsberg 3365 Gemeindeamt,48.026754600000004,14.792540599999938,3365
Amstetten 3300 Gemeindeamt,48.122934,14.871090600000002,3300
Aschbach-Markt 3361 Gemeindeamt,48.0726098,14.749094199999945,3361
Biberbach 3353 Gemeindeamt,48.029263799999995,14.707447799999954,3353
Ernsthofen 4432 Gemeindeamt,48.126499,14.482780000000048,4432
Haag 3350 Gemeindeamt,48.1140568,14.567903200000046,3350
Haidershofen 4431 Gemeindeamt,48.07847,14.488679999999931,4431
Hollenstein an der Ybbs 3343 Gemeindeamt,47.799336100000005,14.772248699999974,3343
Neuhofen an der Ybbs 3364 Gemeindeamt,48.05712579999999,14.853953199999976,3364
Oed-Oehling 3362 Gemeindeamt,48.11980914182021,14.740386596008305,3362
St. Georgen am Ybbsfelde 3304 Gemeindeamt,48.1289878,14.953080900000034,3304
St. Valentin 4300 Gemeindeamt,48.17468,14.533298499999999,4300
Sonntagberg 3332 Gemeindeamt,48.0095814,14.7407733,3332
Wallsee-Sindelburg 3313 Gemeindeamt,48.16773,14.70972000000006,3313
